a2,c4,c6,c7,c8,c9,c10,c11,c13,c152,c162,c172,c30a,d30a,d30b,d2
Red River Delta,,No,,,,No,,,No,,,3,2,1,52589046000
Red River Delta,,Yes,3,810,2,Yes,1,,No,,,3,1,,46930000000
Red River Delta,30,Yes,2,300,,Yes,100,,No,,,2,0,0,120000000
Red River Delta,1,No,,,,No,,,No,,,0,0,0,49547730000
Red River Delta,,Yes,2,60,,No,,,No,,,3,2,3,54000000000
Red River Delta,,Yes,2,720,,Yes,,,No,,,3,1,0,4468000000
Red River Delta,,Yes,1,260,,No,,,No,,,4,3,3,22371863000
Red River Delta,,Yes,1,90,,No,,,No,,,2,0,2,12059358000
Red River Delta,,Yes,1,240,,No,,,No,,,2,1,0,1969456000
Red River Delta,,No,,,,No,,,No,,,0,0,0,6913363000
Red River Delta,,No,,,,No,,,No,,,3,0,1,5889469000
Red River Delta,,Yes,5,30,,No,,,No,,,4,3,2,20144358000
Red River Delta,2,Yes,0,,,No,,,No,,,1,3,0,38000000000
Red River Delta,,No,,,,No,,,No,,,0,1,0,3700000000
Red River Delta,,No,,,,No,,,No,,,0,0,0,138002078000
Red River Delta,,No,,,,No,,,No,,,2,1,0,16000000000
Red River Delta,,No,,,,No,,,No,,,4,3,0,7000000000
Red River Delta,,Yes,0,,,No,,,No,,,1,0,0,72000000000
Red River Delta,,Yes,1,20,0,No,,,No,,,1,1,0,1754568000
Red River Delta,,No,,,,No,,,No,,,1,0,0,363250000
Red River Delta,,Yes,1,35,0,No,,,No,,,2,1,1,354000000
Red River Delta,,No,,,,No,,,No,,,2,1,1,676312000
Red River Delta,1,No,,,,No,,,No,,,0,0,0,1065278000
Red River Delta,,No,,,,Yes,,,No,,,0,0,0,23527473000
Red River Delta,,No,,,,No,,,No,,,0,0,0,680690000
Red River Delta,,Yes,1,241,,No,,,No,,,1,2,1,25615329000
Red River Delta,,No,,,,No,,,No,,,3,0,0,228761378000
Red River Delta,,Yes,2,180,,No,,,No,,,1,0,0,650000000000
Red River Delta,90,Yes,0,,1,No,,60,No,,,0,2,3,25000000000
Red River Delta,,Yes,2,90,,No,,,No,,,3,3,2,146325091000
Red River Delta,,No,,,,No,,,No,,,2,1,1,10000000000
Red River Delta,,No,,,,No,,,No,,,0,1,,8856745000
Red River Delta,,No,,,,No,,,No,,,0,1,0,1150000000
Red River Delta,,No,,,,No,,,No,,,3,,,5567997000
Red River Delta,5,No,,,,No,,5,No,,,3,0,0,5167254000
